Yurt ismi,Statüsü,Enlem Koordinatı,Boylam Koordinatı,Açık Adres,Telefon Numarası,Kapasitesi,Minimum Ücret,Maksimum Ücret
ÇİĞLİ YALI KIZ ÖĞRENCİ YURDU,Özel Yurt,"38,493,087,498,734,400","27,064,103,296,438,700",Büyük Çiğli Mah. Anadolu Cad. No:804 Çiğli / İzmir,+90 546 295 84 36,-,-,-
ÇİĞLİ- ÖZEL DEĞERLI ORTA ÖĞRETİM ERKEK ÖĞRENCİ YURDU,Özel Yurt,"38,497,466","27,067,165",B. ÇIĞLI KÖYIÇI CAD.NO:99 izmir/çiğli,2323765021,72,-,-
ÇİĞLİ- ÖZEL GÜZELKENT ORTAÖĞRETİM ERKEK ÖĞRENCİ YURDU,Özel Yurt,"38,486,927","27,070,181",İSTASYONALTI MAHALLESİ 8271/7.SOKAK NO/5,2323861248,65,-,-
DİKİLİ - ÖZEL MİYASE YILMAZ ORTAÖĞRETİM ERKEK ÖĞRENCİ YURDU,Özel Yurt,"39,072,125","26,889,451",İSMET PAŞA MAH.70/1 SOK.NO:4-6 DİKİLİ,2326713963,77,-,-
Ege Mavisi Özel Kız Öğrenci Yurdu,Özel Yurt,38.45945898,27.21246973,"Kazımdirik, Kazım Dirik Mah, Ankara Cd. No:249, 35100 Bornova/İzmir",(0232) 339 40 40,-,-,-
Ege Üniversitesi Öğrenci Köyü,Üniversite Yurdu,38.4532552,27.2162048,"372 Sok. No:18 Kazım Dirik Mah. Ağaçlı Yol 35100, Bornova / İZMİR",0 (232) 342 42 82 ,1500,1400,1400
egeyurt izmir ozel ogrenci yurdu,Özel Yurt,"38,452,966,429,423,500","2,721,578,337,990,990","kazimdirik, 372. sk. no:12/2, 35100 bornova/izmir
",0232 342 44 00,-,-,-
Egeyurt İzmir Özel Öğrenci Yurdu,Özel Yurt,"3,845,254,268,010,430","2,721,777,543,032,010",Kazımdirik Mah. 372.Sk. No:12/2 Bornova İzmir,0530 845 17 17,532,-,-
Elit Kız Pansiyonu,Özel Yurt,"38,087,901,786,031,500","2,773,408,651,164,600","Yeni Mahalle, Aydınoğlu Cad. No:9, 35900 Tire/İzmir",02325126555,67,2600,3000
Fatih Öğrenci Yurdu,Özel Yurt,"3,822,679,588,632,040","27,988,834,218,775,800","Hürriyet Mah. Atatürk Cad. 35763 Ödemiş İzmir, 35763",02325448778,100,ücretsiz,ücretsiz
Forum Kız Öğrenci Yurdu,Özel Yurt,"3,844,906,307,945,750","27,218,918,793,601,600",Kazımdirik Mahallesi 372/9. Sokak No:21 35035 Bornova/İzmir Türkiye,0532 057 65 35,-,-,-
forum kiz ogrenci yurdu,Özel Yurt,"38,446,907,274,856,800","27,218,750,645,514,300","kazimdirik, 372/9. sk. no:21, 35100 bornova/izmir
",0532 057 65 35,38,-,-
GSB Yörük Ali Efe KYK Yurdu,KYK,38.45016694,27.22688602,Mevlana Mahallesi 1776. Sokak No: 4/3 Bornova İzmir,(0232) 388 95 00,-,-,-
GSB Zübeyde Hanım Kız Öğrenci Yurdu,KYK,38.458124,27.23434063,Erzene Mahallesi Atatürk Caddesi Ege Üniversitesi Kampüs İçi No:172/57 Bornova/İZMİR,(0232) 502 84 80,2000,570,570
Hacı Ahmet Tatari Yurdu,KYK,"383,911,765","271,803,176","Gaziler, 1086. Sk. No:7, 35390 Buca/İzmir",02324205164,600,345,345
Hedef Yüksek Öğretim Erkek Öğrenci Yurdu,Özel Yurt,"382,750","271,335","Erzene Mah. 61 Sok. No: 12, Bornova/İzmir",(232) 388 58 56,28,-,-
Hoca Ahmet Yesevi Kyk Kız Öğrenci Yurdu,KYK,"38,372,787,565,050,200","2,718,955,787,380,660","Kuruçeşme, 35678 Buca/İzmir",02324421300,500,405(Aylık),480(Aylık)
Izmir Bornova Özel Papatyam Kız Öğrenci Yurdu,Özel Yurt,"3,846,963,855,461,140","2,723,673,593,109,660","116/12. Sk. 5-3, Erzene, 35040 Bornova/İzmir",0232 343 43 02,-,-,-
"İYTE KYK Öğrenci Yurdu, ",KYK,"38,325,014","26,635,465","Gülbahçe, 35433 Urla/İzmir, ",2327659119,3406,305,750
İYTE Lisansüstü Öğrenci Köyü,Üniversite Yurdu,"3,543,038,325,515","26,633,555",İzmir Yüksek Teknoloji Enstitüsü Gülbahçe 35430 Urla / İzmir,+90 232 750 6000,18,1,1
izmir bornova ozel papatyam kiz ogrenci yurdu,Özel Yurt,"3,846,844,100,222,310","2,723,393,921,719,770","erzene, 116. sk. no:6, 35040 bornova/izmir
",0232 343 43 02,-,-,-
Karahan Grup Yükseköğretim Kız Öğrenci Yurdu,Özel Yurt,"382,736","271,217","Kazımdirik Mah. 215 Sok. No: 7, Bornova/İzmir",(232) 374 65 64,112,-,-
KARŞIYAKA - ÖZEL MEHMET AKİF ERSOY ORTAÖĞRETİM KIZ ÖĞRENCİ YURDU,Özel Yurt,"3,845,816,019,080,850","27,112,754,654,173,300","Bahriye Üçok, 35560 Karşıyaka/İzmir",2323687824,38,-,-
KARŞIYAKA - ÖZEL MEHMET AKİF ERSOY ORTAÖĞRETİM KIZ ÖĞRENCİ YURDU,Özel Yurt,"3,845,814,338,811,240","27,112,690,281,560,400","Bahriye Üçok, 35560 Karşıyaka/İzmir",2323687824,38,50000,60000
Kılıçoğlu Öğrenci Yurdu,Özel Yurt,"3,845,406,624,753,820","27,204,585,325,620,800",367/4 Sk. No:9 Kazım Dirik Mh. Bornova İzmir,0532 152 0274,250,-,-
kilicoglu ogrenci yurdu,Özel Yurt,"3,845,123,002,377,990","2,720,565,099,340,140","kazimdirik, 367/4 sk no:9, 35100 bornova/izmir
",0232 400 78 78,-,-,-
KİRAZ - ÖZEL ALTIN ORTA ÖĞRETİM ERKEK ÖĞRENCİ YURDU,Özel Yurt,"3,827,207,836,446,620","28,209,875,654,178,000",SABIT ARTI CAD.ŞANLI İŞHANI KAT:1 KIRAZ,2325724215,47,-,-
KİRAZ - ÖZEL AYŞE SARI ORTA ÖĞRETİM ERKEK ÖĞRENCİ YURDU,Özel Yurt,"38,269,922,050,514,600","2,820,961,854,046,480",CUMHURIYET MAH.ATATÜRK BULVARI NO.61,2325723353,100,-,-
KONAK -  ÖZEL HALİLRIFATPAŞA YÜKSEK ÖĞRETİM ERKEK ÖĞRENCİ YURDU,Özel Yurt,"384,087,966,002,212","2,712,442,961,121,580","Altıntaş, Halil Rıfat Paşa Cd. No:189, 35260 Konak/İzmir",2322284074,40,-,-
Koyundere Kız Yurdu,Özel Yurt,"3,857,696,335,195,220","2,706,870,316,966,360","Kemal Atatürk Mahallesi 7528 Sokak No: 1 Menemen, İzmir",0(232) 846 13 13,-,-,-
Küçükpark Yükseköğrenim Kız Öğrenci Yurdu,Özel Yurt,"382,746","271,241","Kazımdirik Mah. 173 Sok. No: 11, Bornova/İzmir",(232) 375 53 52,-,-,-
